countrycode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate
770,3993-QUNVJ,31/12/2012,280670965,03/01/2012,02/02/2012,50.39,No,23/01/2012,Paper,20,0
391,6708-DPYTF,02/08/2012,5133177585,03/01/2012,02/02/2012,55.37,No,16/02/2012,Paper,44,14
818,1604-LIFKX,16/03/2013,5928070131,03/01/2012,02/02/2012,97.6,No,25/02/2012,Paper,53,23
818,8887-NCUZC,22/01/2013,6050714721,03/01/2012,02/02/2012,15.99,Yes,15/02/2012,Paper,43,13
406,5164-VMYWJ,27/11/2013,6393629835,03/01/2012,02/02/2012,71.33,No,30/01/2012,Paper,27,0
406,7245-CKNCN,04/06/2012,2923296215,04/01/2012,03/02/2012,67.71,No,28/01/2012,Paper,24,0
770,0465-DTULQ,04/03/2013,4566394525,04/01/2012,03/02/2012,55.91,No,04/02/2012,Paper,31,1
406,4092-ZAVRG,19/05/2012,8483378519,04/01/2012,03/02/2012,75.21,No,13/01/2012,Paper,9,0
391,1080-NDGAE,28/09/2012,915652542,05/01/2012,04/02/2012,78.29,Yes,13/02/2012,Paper,39,9
897,9460-VAZGD,10/08/2013,2947790220,05/01/2012,04/02/2012,32.28,No,19/01/2012,Paper,14,0
818,6627-ELFBK,26/11/2012,2195380883,06/01/2012,05/02/2012,47.07,Yes,03/02/2012,Paper,28,0
391,8820-BLYDZ,19/03/2013,8081319512,06/01/2012,05/02/2012,78.05,No,16/01/2012,Paper,10,0
818,8364-UWVLM,10/11/2012,9611156539,06/01/2012,05/02/2012,70.34,No,06/02/2012,Paper,31,1
897,9883-SDWFS,08/07/2013,1789438475,07/01/2012,06/02/2012,46.33,Yes,10/02/2012,Paper,34,4
770,9928-IJYBQ,18/03/2012,4915855065,07/01/2012,06/02/2012,78.92,No,05/02/2012,Paper,29,0
770,6077-FDQRK,11/09/2012,3314980148,08/01/2012,07/02/2012,28.84,No,01/02/2012,Paper,24,0
406,0783-PEPYR,27/11/2013,6805978922,08/01/2012,07/02/2012,63.92,No,20/02/2012,Paper,43,13
391,9841-XLGBV,03/01/2013,1633220775,09/01/2012,08/02/2012,41.99,No,06/02/2012,Paper,28,0
391,7329-TWKLF,20/11/2013,7097948653,09/01/2012,08/02/2012,56.86,No,27/01/2012,Paper,18,0
770,0465-DTULQ,04/03/2013,7839294116,09/01/2012,08/02/2012,40.22,No,13/02/2012,Paper,35,5
770,2026-XLBER,12/11/2012,8057232722,09/01/2012,08/02/2012,83.12,No,30/01/2012,Paper,21,0
406,4651-PMEXQ,04/07/2012,8701747713,09/01/2012,08/02/2012,100.32,No,11/02/2012,Paper,33,3
818,8887-NCUZC,22/01/2013,4978138927,10/01/2012,09/02/2012,7.45,No,19/02/2012,Paper,40,10
897,7372-CESLR,11/01/2013,5215762025,10/01/2012,09/02/2012,47.75,No,03/02/2012,Paper,24,0
406,6833-ETVHD,30/04/2012,5844695758,10/01/2012,09/02/2012,71.66,No,10/02/2012,Paper,31,1
406,4640-FGEJI,04/04/2013,3714896459,11/01/2012,10/02/2012,84.42,No,08/02/2012,Paper,28,0
391,1080-NDGAE,28/09/2012,4336863090,11/01/2012,10/02/2012,73.06,Yes,06/02/2012,Paper,26,0
897,0688-XNJRO,24/06/2012,8528877072,12/01/2012,11/02/2012,64.19,No,24/02/2012,Paper,43,13
391,6160-HCSFI,10/01/2013,104628267,13/01/2012,12/02/2012,72.72,No,04/02/2012,Paper,22,0
406,5284-DJOZO,11/09/2012,204757285,13/01/2012,12/02/2012,54.44,No,27/01/2012,Paper,14,0
