Data,Receita_Esperada_Ingenua,Receita_Projetada_IA,Acumulado_Ingenuo,Acumulado_IA,Furo_de_Caixa_Acumulado
2013-08-11,144.82999999999998,0.0,144.82999999999998,0.0,144.82999999999998
2013-08-12,333.59000000000003,132.76,478.42,132.76,345.66
2013-08-13,62.32,0.0,540.74,132.76,407.98
2013-08-14,122.09,74.96000000000001,662.83,207.72,455.11
2013-08-15,190.26,0.0,853.09,207.72,645.37
2013-08-16,347.61,120.74000000000001,1200.7,328.46000000000004,872.24
2013-08-17,0.0,99.03999999999999,1200.7,427.5,773.2
2013-08-18,181.67000000000002,65.01,1382.3700000000001,492.51,889.8600000000001
2013-08-19,153.76,104.83,1536.13,597.34,938.7900000000001
2013-08-20,335.71,189.57,1871.8400000000001,786.9100000000001,1084.93
2013-08-21,236.96999999999997,209.67,2108.81,996.58,1112.23
2013-08-22,408.52,525.29,2517.33,1521.87,995.46
2013-08-23,240.47,290.19,2757.7999999999997,1812.06,945.7399999999998
2013-08-24,60.3,127.98,2818.1,1940.04,878.06
2013-08-25,105.37,138.29,2923.47,2078.33,845.1399999999999
2013-08-26,352.43,577.3199999999999,3275.8999999999996,2655.6499999999996,620.25
2013-08-27,183.09,90.92,3458.99,2746.5699999999997,712.4200000000001
2013-08-28,158.73000000000002,140.92000000000002,3617.72,2887.49,730.23
2013-08-29,242.09,194.95,3859.81,3082.4399999999996,777.3700000000003
2013-08-30,0.0,116.66,3859.81,3199.0999999999995,660.7100000000005
2013-08-31,290.19,369.35,4150.0,3568.4499999999994,581.5500000000006
2013-09-02,134.26,143.21,4284.26,3711.6599999999994,572.6000000000008
2013-09-03,156.14,220.32,4440.400000000001,3931.9799999999996,508.420000000001
2013-09-04,260.43,96.14,4700.830000000001,4028.1199999999994,672.7100000000014
2013-09-06,216.94,325.28999999999996,4917.77,4353.41,564.3600000000006
2013-09-07,208.73000000000002,197.94,5126.5,4551.349999999999,575.1500000000005
2013-09-08,194.43,264.15999999999997,5320.93,4815.509999999999,505.420000000001
2013-09-09,269.81,346.01,5590.740000000001,5161.5199999999995,429.22000000000116
